time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
380,14.0,10,10.882354,4179,0,,,,,,
600,18.476190476190474,20,13.917411,4457,0,,,,,,
720,18.903225806451612,30,14.709365,4377,0,,,,,,
980,18.55,40,14.59494,4464,0,,,,,,
1200,18.980392156862745,50,14.375117,4295,0,,,,,,
1380,19.216666666666665,60,14.703059,4381,0,,,,,,
1600,18.830985915492956,70,14.43406,4445,0,,,,,,
1780,19.22222222222222,80,15.242391,4229,0,,,,,,
2020,19.68888888888889,90,15.39315,4212,0,,,,,,
2220,19.51,100,15.109806,4256,0,,,,,,
2420,20.38,110,15.929834,4294,0,,,,,,
2640,20.58,120,16.833973,4387,0,,,,,,
2800,20.46,130,16.485365,4391,0,,,,,,
3040,20.3,140,16.082378,4440,0,,,,,,
3260,21.0,150,17.739874,4470,0,,,,,,
3480,20.84,160,17.598448,4468,0,,,,,,
3680,21.45,170,17.845005,4475,0,,,,,,
3900,21.33,180,17.541529,4472,0,,,,,,
4160,20.71,190,17.241663,4491,0,,,,,,
4320,20.77,200,17.40508,4520,0,,,,,,
4600,20.23,210,16.788525,4558,1,,,,,,
4740,20.1,220,16.490124,4537,1,,,,,,
4960,20.98,230,17.549397,4502,1,,,,,,
5160,21.14,240,17.866022,4505,1,,,,,,
5460,20.72,250,16.900007,4585,1,,,,,,
5580,21.15,260,17.80557,4591,1,,,,,,
5860,21.21,270,18.334913,4653,1,,,,,,
5980,21.65,280,18.893574,4646,1,,,,,,
6300,22.11,290,19.597202,4628,1,,,,,,
6540,22.1,300,19.784609,4614,1,,,,,,
6700,22.92,310,20.549097,4602,1,,,,,,
6900,23.31,320,20.488523,4604,1,,,,,,
7160,21.87,330,18.550299,4594,1,,,,,,
7340,22.15,340,19.037813,4365,1,,,,,,
7560,21.92,350,18.793314,4305,1,,,,,,
7680,21.37,360,17.466906,4295,1,,,,,,
7940,20.8,370,16.38731,4329,1,,,,,,
8160,20.28,380,15.611231,4323,1,,,,,,
8400,20.23,390,15.830744,4323,1,,,,,,
8540,20.37,400,15.81452,4323,1,,,,,,
8820,20.15,410,15.947532,4345,2,,,,,,
8980,20.12,420,16.142471,4352,2,,,,,,
9180,19.9,430,15.920282,4366,2,,,,,,
9400,19.83,440,16.04434,4388,2,,,,,,
9540,19.38,450,15.307856,4384,2,,,,,,
9740,19.7,460,15.899376,4397,2,,,,,,
9980,20.54,470,17.84484,4375,2,,,,,,
10200,20.78,480,18.288433,4000,2,-2.097893714904785,7.364449501037598,9,-0.0008523829746991396,2.1544346900318823e-05,0.9998276233673096
10420,21.23,490,18.281374,3718,2,-2.2010531425476074,7.679244041442871,20,-0.0020397668704390526,2.1544346900318823e-05,0.9995903372764587
10720,20.81,500,17.522673,3436,3,-2.2689857482910156,6.9108195304870605,35,-0.0036496631801128387,2.1544346900318823e-05,0.9992664456367493
10980,21.65,510,17.841663,3213,3,-2.3946542739868164,7.0109686851501465,48,-0.005090333055704832,2.1544346900318823e-05,0.9989854693412781
11180,21.48,520,17.603275,3072,3,-2.4756622314453125,6.467311382293701,58,-0.006177820265293121,2.1544346900318823e-05,0.9987691044807434
11420,22.15,530,18.358288,2931,3,-2.593069553375244,5.886927604675293,70,-0.007564118131995201,2.1544346900318823e-05,0.9985093474388123
11640,22.61,540,18.262756,2820,4,-2.630979299545288,5.839878082275391,81,-0.00872231274843216,2.1544346900318823e-05,0.9982715249061584
11820,23.62,550,19.632042,2704,4,-2.6175894737243652,5.713893890380859,90,-0.009617536328732967,2.1544346900318823e-05,0.998076856136322
12020,23.24,560,19.418753,2618,4,-2.7501118183135986,5.673755168914795,100,-0.010767190717160702,2.1544346900318823e-05,0.9978609681129456
12240,22.85,570,17.793945,2520,4,-2.8508806228637695,5.2888336181640625,111,-0.011994545347988605,2.1544346900318823e-05,0.9976232647895813
12460,22.9,580,17.76079,2427,5,-2.9137063026428223,4.966283321380615,122,-0.013145312666893005,2.1544346900318823e-05,0.9973855018615723
12680,22.76,590,18.01877,2335,5,-2.996041774749756,4.816850662231445,133,-0.014382028952240944,2.1544346900318823e-05,0.9971480369567871
12900,22.46,600,17.52432,2258,5,-3.013913631439209,4.879779815673828,144,-0.015582799911499023,2.1544346900318823e-05,0.996910572052002
13100,21.69,610,16.608027,2191,5,-3.1460659503936768,4.742458343505859,154,-0.016676165163517,2.1544346900318823e-05,0.996694803237915
13360,22.36,620,18.415337,2086,6,-3.2773985862731934,4.37801456451416,167,-0.018179170787334442,2.1544346900318823e-05,0.9964144825935364
13600,22.07,630,17.755844,2034,6,-3.3964357376098633,3.9286229610443115,179,-0.01937563717365265,2.1544346900318823e-05,0.9961557984352112
13820,22.11,640,18.551764,1991,6,-3.479691505432129,4.124515056610107,190,-0.02076895348727703,2.1544346900318823e-05,0.9959186911582947
14020,21.34,650,17.351677,1961,7,-3.534813642501831,4.137442588806152,200,-0.021711910143494606,2.1544346900318823e-05,0.9957032799720764
14200,22.05,660,17.9956,1927,7,-3.6021111011505127,3.6495189666748047,209,-0.02268674224615097,2.1544346900318823e-05,0.9955095648765564
14420,21.75,670,17.989252,1892,7,-3.67819881439209,3.630275249481201,220,-0.023952074348926544,2.1544346900318823e-05,0.9952728152275085
14580,21.71,680,18.055536,1867,7,-3.7862067222595215,3.4876487255096436,228,-0.024736937135457993,2.1544346900318823e-05,0.9951006174087524
14860,21.8,690,17.97557,1835,8,-3.958716630935669,3.520397663116455,242,-0.02629837393760681,2.1544346900318823e-05,0.9947995543479919
15160,21.61,700,17.875881,1793,8,-4.013193130493164,3.0742859840393066,257,-0.027926545590162277,2.1544346900318823e-05,0.9944773316383362
15400,22.47,710,19.082752,1766,8,-4.15226936340332,3.139805793762207,269,-0.029452143236994743,2.1544346900318823e-05,0.9942194223403931
15580,21.64,720,17.477219,1751,8,-4.204196929931641,3.216364860534668,278,-0.030147042125463486,2.1544346900318823e-05,0.9940260648727417
15880,22.39,730,18.744965,1718,9,-4.474919319152832,3.4787566661834717,293,-0.03186861053109169,2.1544346900318823e-05,0.9937039613723755
16100,21.7,740,18.009336,1703,9,-4.397539138793945,3.273789167404175,304,-0.03291603550314903,2.1544346900318823e-05,0.9934679269790649
16300,21.8,750,18.25597,1681,9,-4.41663932800293,3.012289047241211,314,-0.03396645560860634,2.1544346900318823e-05,0.9932534098625183
16520,21.61,760,18.672752,1663,9,-4.596061706542969,3.1043736934661865,325,-0.03526776283979416,2.1544346900318823e-05,0.9930174946784973
16680,22.58,770,21.512522,1647,10,-4.580408096313477,3.34554123878479,333,-0.03616756200790405,2.1544346900318823e-05,0.9928460121154785
16920,22.47,780,21.655407,1618,10,-4.710499286651611,2.945119857788086,345,-0.03765404224395752,2.1544346900318823e-05,0.9925888180732727
17200,22.71,790,22.031826,1601,10,-4.9559173583984375,3.01979923248291,359,-0.03915918990969658,2.1544346900318823e-05,0.9922885894775391
17320,22.95,800,22.425613,1591,10,-4.853698253631592,3.1116344928741455,365,-0.03951364755630493,2.1544346900318823e-05,0.9921600222587585
17620,21.89,810,20.912495,1575,11,-5.06876277923584,2.7002031803131104,380,-0.041277069598436356,2.1544346900318823e-05,0.9918384552001953
17780,20.95,820,19.866722,1565,11,-5.15297794342041,3.250941514968872,388,-0.042169246822595596,2.1544346900318823e-05,0.9916672110557556
17980,21.88,830,22.329185,1555,11,-5.313587188720703,3.0670671463012695,398,-0.04316456615924835,2.1544346900318823e-05,0.9914531707763672
18200,22.05,840,22.462152,1538,11,-5.3246660232543945,3.0195016860961914,409,-0.044496797025203705,2.1544346900318823e-05,0.9912180304527283
18340,21.99,850,22.2623,1526,12,-5.305312156677246,2.9338088035583496,416,-0.04523931443691254,2.1544346900318823e-05,0.9910682439804077
18560,21.71,860,21.468428,1513,12,-5.4356889724731445,3.7391602993011475,427,-0.04637501761317253,2.1544346900318823e-05,0.990833044052124
18700,20.97,870,18.59972,1506,12,-5.431757926940918,3.1153488159179688,434,-0.046897463500499725,2.1544346900318823e-05,0.9906834363937378
18920,20.77,880,18.14116,1495,12,-5.679168701171875,3.2330448627471924,445,-0.04876958206295967,2.1544346900318823e-05,0.9904486536979675
19140,20.42,890,17.743193,1488,12,-5.688629150390625,3.0695714950561523,456,-0.04966195672750473,2.1544346900318823e-05,0.9902138710021973
19360,20.81,900,18.612762,1481,13,-5.733973979949951,3.004157066345215,467,-0.050517234951257706,2.1544346900318823e-05,0.9899788498878479
19560,21.2,910,18.91416,1472,13,-5.749988555908203,2.6190953254699707,477,-0.05191086232662201,2.1544346900318823e-05,0.9897652864456177
19760,20.88,920,18.48807,1462,13,-6.107447624206543,4.398550987243652,487,-0.052825927734375,2.1544346900318823e-05,0.9895520210266113
19880,19.58,930,15.737689,1458,13,-5.9458184242248535,3.9108383655548096,493,-0.053550995886325836,2.1544346900318823e-05,0.9894240498542786
20060,19.35,940,15.250116,1451,13,-6.149843215942383,3.567444324493408,502,-0.05481911450624466,2.1544346900318823e-05,0.9892322421073914
20280,19.41,950,15.4984,1445,14,-6.012537479400635,3.1290206909179688,513,-0.05573105812072754,2.1544346900318823e-05,0.9889975786209106
20460,19.23,960,15.069204,1440,14,-6.104771614074707,3.843289852142334,522,-0.05690375715494156,2.1544346900318823e-05,0.9888055920600891
20700,19.04,970,15.263593,1431,14,-6.335921287536621,4.271462917327881,534,-0.058072686195373535,2.1544346900318823e-05,0.9885495901107788
20860,19.41,980,15.916216,1426,14,-6.291210651397705,3.722357988357544,542,-0.0591280534863472,2.1544346900318823e-05,0.9883790612220764
21080,19.47,990,15.83283,1412,14,-6.385865688323975,3.2840375900268555,553,-0.06025351211428642,2.1544346900318823e-05,0.9881445169448853
21300,19.33,1000,15.548858,1404,15,-6.54166841506958,4.419136047363281,564,-0.061274170875549316,2.1544346900318823e-05,0.9879102110862732
21480,19.16,1010,15.128741,1395,15,-6.668462753295898,4.693981170654297,573,-0.0624808669090271,2.1544346900318823e-05,0.9877187013626099
21680,19.38,1020,15.450681,1390,15,-6.68070125579834,3.7621796131134033,583,-0.0633559301495552,2.1544346900318823e-05,0.9875059723854065
21860,19.19,1030,15.438974,1386,15,-6.6734466552734375,4.282962322235107,592,-0.06439600139856339,2.1544346900318823e-05,0.987314760684967
22060,19.35,1040,15.427837,1381,15,-6.749704360961914,3.578641653060913,602,-0.0653873011469841,2.1544346900318823e-05,0.9871021509170532
22240,19.65,1050,15.678254,1376,16,-6.720921039581299,4.500179767608643,611,-0.06666485965251923,2.1544346900318823e-05,0.9869106411933899
22460,19.84,1060,16.560137,1370,16,-6.886565208435059,3.2028722763061523,622,-0.06795322895050049,2.1544346900318823e-05,0.9866768717765808
22620,19.75,1070,16.440025,1368,16,-6.845700740814209,4.161454677581787,630,-0.06871049106121063,2.1544346900318823e-05,0.9865069389343262
22840,19.39,1080,15.976658,1362,16,-7.034770965576172,3.0235671997070312,641,-0.06931181252002716,2.1544346900318823e-05,0.9862731695175171
23020,19.34,1090,16.078333,1355,16,-7.070112705230713,3.660466194152832,650,-0.06973465532064438,2.1544346900318823e-05,0.986082136631012
23160,19.16,1100,15.982235,1353,17,-7.167021751403809,3.6286232471466064,657,-0.07130462676286697,2.1544346900318823e-05,0.9859336018562317
23280,19.02,1110,15.844729,1351,17,-7.330138206481934,4.997548580169678,663,-0.07243002951145172,2.1544346900318823e-05,0.985806405544281
23480,18.44,1120,15.533378,1345,17,-7.136574745178223,3.354616641998291,673,-0.07308976352214813,2.1544346900318823e-05,0.9855942130088806
23760,18.62,1130,15.727427,1340,17,-7.4973320960998535,3.488966464996338,687,-0.07452094554901123,2.1544346900318823e-05,0.9852972626686096
23880,18.81,1140,16.207361,1336,17,-7.379795551300049,4.318545341491699,693,-0.07479298859834671,2.1544346900318823e-05,0.9851700067520142
24060,18.49,1150,16.107035,1332,18,-7.353082656860352,4.2422380447387695,702,-0.07595180720090866,2.1544346900318823e-05,0.9849790334701538
24240,18.16,1160,15.369447,1326,18,-7.763008117675781,5.368255615234375,711,-0.0772523581981659,2.1544346900318823e-05,0.9847881197929382
24380,17.81,1170,15.063921,1322,18,-7.837425231933594,3.766747236251831,718,-0.07771839201450348,2.1544346900318823e-05,0.9846397042274475
24580,17.68,1180,14.690791,1316,18,-7.957318305969238,4.813508033752441,728,-0.07870744168758392,2.1544346900318823e-05,0.9844276905059814
24800,17.81,1190,14.621356,1309,18,-7.857440948486328,4.899194717407227,739,-0.0802120566368103,2.1544346900318823e-05,0.9841947555541992
24920,18.03,1200,14.827792,1304,19,-7.928184509277344,5.422626495361328,745,-0.08076658844947815,2.1544346900318823e-05,0.9840675592422485
25100,17.93,1210,14.762134,1299,19,-7.8848161697387695,5.085089683532715,754,-0.08170123398303986,2.1544346900318823e-05,0.9838773012161255
25240,17.76,1220,14.698652,1294,19,-8.05743408203125,3.9778692722320557,761,-0.08307278901338577,2.1544346900318823e-05,0.9837294816970825
25460,17.57,1230,14.127201,1289,19,-7.982682704925537,5.58176326751709,772,-0.08346951752901077,2.1544346900318823e-05,0.9834968447685242
25600,17.33,1240,13.883535,1288,19,-8.116094589233398,4.642629146575928,779,-0.08406756818294525,2.1544346900318823e-05,0.9833488464355469
25760,17.22,1250,13.653706,1283,20,-8.11539077758789,5.606170654296875,787,-0.08507245779037476,2.1544346900318823e-05,0.9831799864768982
25920,16.99,1260,13.518397,1279,20,-8.146102905273438,3.8284144401550293,795,-0.0861383005976677,2.1544346900318823e-05,0.9830108880996704
26180,17.19,1270,13.544529,1275,20,-8.399213790893555,4.392353057861328,808,-0.08773267269134521,2.1544346900318823e-05,0.9827362298965454
26340,17.24,1280,13.849861,1274,20,-8.498066902160645,3.5443644523620605,816,-0.08809098601341248,2.1544346900318823e-05,0.9825670123100281
26460,17.41,1290,14.112513,1271,20,-8.666043281555176,3.9270594120025635,822,-0.08895868062973022,2.1544346900318823e-05,0.9824402332305908
26600,16.57,1300,13.285191,1268,20,-8.699861526489258,6.400301933288574,829,-0.08962031453847885,2.1544346900318823e-05,0.9822923541069031
26780,16.97,1310,13.77403,1254,21,-8.709517478942871,4.5845046043396,838,-0.09026052802801132,2.1544346900318823e-05,0.9821021556854248
26940,16.79,1320,13.608333,1230,21,-8.585386276245117,4.602716445922852,846,-0.09191704541444778,2.1544346900318823e-05,0.9819334149360657
27120,16.87,1330,13.79217,1224,22,-8.868391036987305,6.2707061767578125,855,-0.09281803667545319,2.1544346900318823e-05,0.9817433953285217
27300,16.57,1340,13.578159,1212,22,-8.838899612426758,5.950339317321777,864,-0.09302255511283875,2.1544346900318823e-05,0.9815536141395569
27480,16.54,1350,13.658136,1210,22,-8.9381685256958,4.022770881652832,873,-0.09456516057252884,2.1544346900318823e-05,0.9813640117645264
27600,16.96,1360,14.392952,1203,22,-8.981002807617188,7.385829925537109,879,-0.09468076378107071,2.1544346900318823e-05,0.9812375903129578
27820,16.86,1370,14.19839,1195,23,-9.049215316772461,5.466010570526123,890,-0.09690867364406586,2.1544346900318823e-05,0.981005847454071
27980,16.75,1380,13.79252,1188,23,-9.289219856262207,4.231551170349121,898,-0.09675080329179764,2.1544346900318823e-05,0.9808372259140015
28180,16.46,1390,13.669622,1179,23,-9.170209884643555,5.990612983703613,908,-0.0973997637629509,2.1544346900318823e-05,0.9806265830993652
28300,16.53,1400,13.776014,1177,24,-9.097858428955078,4.932036399841309,914,-0.09824730455875397,2.1544346900318823e-05,0.9805002808570862
