time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
28440,16.49,1410,13.710094,1174,24,-9.407176971435547,6.652576446533203,921,-0.09892313182353973,2.1544346900318823e-05,0.980353057384491
28560,16.43,1420,13.712859,1171,24,-9.365751266479492,5.705989837646484,927,-0.10076015442609787,2.1544346900318823e-05,0.9802269339561462
28740,16.08,1430,13.460167,1168,24,-9.386886596679688,6.774394989013672,936,-0.10083162784576416,2.1544346900318823e-05,0.9800374507904053
28960,16.27,1440,13.808137,1165,24,-9.590011596679688,6.905567169189453,947,-0.10112547874450684,2.1544346900318823e-05,0.9798059463500977
29120,16.98,1450,14.949767,1163,25,-9.596794128417969,7.0508036613464355,955,-0.10239513963460922,2.1544346900318823e-05,0.9796378016471863
29260,16.65,1460,14.212383,1157,25,-9.715532302856445,4.188212871551514,962,-0.1036844402551651,2.1544346900318823e-05,0.9794909358024597
29420,16.65,1470,14.412023,1153,25,-9.634509086608887,4.271068572998047,970,-0.10438524186611176,2.1544346900318823e-05,0.9793229699134827
29560,16.01,1480,14.248778,1150,25,-9.712623596191406,4.851579666137695,977,-0.10486041754484177,2.1544346900318823e-05,0.9791760444641113
29780,16.24,1490,14.380459,1146,25,-9.857080459594727,6.91287088394165,988,-0.10580816864967346,2.1544346900318823e-05,0.9789454340934753
29900,16.52,1500,14.41354,1143,26,-9.872054100036621,8.015602111816406,994,-0.10674836486577988,2.1544346900318823e-05,0.9788195490837097
30040,16.08,1510,13.868728,1140,26,-10.030405044555664,6.294302940368652,1001,-0.10788599401712418,2.1544346900318823e-05,0.9786728620529175
30240,16.42,1520,14.328499,1135,26,-9.90545654296875,6.9653778076171875,1011,-0.108726866543293,2.1544346900318823e-05,0.9784630537033081
30380,16.56,1530,14.457542,1133,26,-10.054460525512695,9.479043960571289,1018,-0.10944115370512009,2.1544346900318823e-05,0.9783163666725159
30540,16.55,1540,14.023642,1130,27,-10.046878814697266,9.690860748291016,1026,-0.10969843715429306,2.1544346900318823e-05,0.9781485199928284
30680,15.87,1550,12.64678,1128,27,-10.154960632324219,5.817897319793701,1033,-0.11208370327949524,2.1544346900318823e-05,0.9780017137527466
30800,15.73,1560,12.4662,1127,27,-10.203632354736328,6.7389655113220215,1039,-0.11280429363250732,2.1544346900318823e-05,0.9778758883476257
30940,15.46,1570,12.149747,1124,27,-10.315004348754883,7.549022197723389,1046,-0.11262722313404083,2.1544346900318823e-05,0.9777291417121887
31100,15.51,1580,12.273652,1122,27,-10.485950469970703,6.14035701751709,1054,-0.11442361027002335,2.1544346900318823e-05,0.9775615930557251
31280,15.51,1590,12.258883,1120,27,-10.568588256835938,10.052108764648438,1063,-0.115262970328331,2.1544346900318823e-05,0.9773730039596558
31420,15.49,1600,12.396854,1119,28,-10.612153053283691,9.497570037841797,1070,-0.11579636484384537,2.1544346900318823e-05,0.9772263169288635
31580,15.19,1610,12.034309,1117,28,-10.636711120605469,8.169736862182617,1078,-0.11573196202516556,2.1544346900318823e-05,0.9770587086677551
31700,15.15,1620,11.812931,1115,28,-10.355415344238281,4.306282997131348,1084,-0.11619678139686584,2.1544346900318823e-05,0.9769330620765686
31900,15.15,1630,11.928699,1113,28,-10.638047218322754,8.777507781982422,1094,-0.11737281084060669,2.1544346900318823e-05,0.9767240881919861
32080,15.53,1640,12.753358,1111,28,-10.704172134399414,6.719963550567627,1103,-0.1188475713133812,2.1544346900318823e-05,0.9765359163284302
32220,15.13,1650,12.320579,1109,29,-10.617730140686035,8.929401397705078,1110,-0.11924649029970169,2.1544346900318823e-05,0.976389467716217
32340,15.32,1660,12.66619,1108,29,-10.697774887084961,4.817637920379639,1116,-0.12105191498994827,2.1544346900318823e-05,0.9762639999389648
32520,15.59,1670,12.635795,1106,29,-10.654439926147461,7.527280807495117,1125,-0.12132827937602997,2.1544346900318823e-05,0.9760756492614746
32640,15.56,1680,12.335818,1104,29,-10.72673511505127,5.962664604187012,1131,-0.12156575918197632,2.1544346900318823e-05,0.9759501218795776
32900,15.85,1690,12.5903225,1101,29,-11.309496879577637,7.901077747344971,1144,-0.12273965775966644,2.1544346900318823e-05,0.9756782054901123
33080,15.93,1700,12.662577,1100,30,-10.957205772399902,8.504026412963867,1153,-0.12298962473869324,2.1544346900318823e-05,0.9754899144172668
33260,16.3,1710,13.011136,1098,30,-11.131677627563477,4.826858997344971,1162,-0.12540321052074432,2.1544346900318823e-05,0.97530198097229
33420,16.77,1720,13.525224,1096,30,-11.294970512390137,7.085805892944336,1170,-0.12603656947612762,2.1544346900318823e-05,0.9751347303390503
33600,16.99,1730,13.641169,1094,30,-11.451374053955078,7.010746002197266,1179,-0.12596532702445984,2.1544346900318823e-05,0.9749466180801392
33720,16.71,1740,13.310481,1092,30,-11.390480041503906,7.905251979827881,1185,-0.12782539427280426,2.1544346900318823e-05,0.9748212099075317
33840,16.78,1750,13.414521,1091,31,-11.419560432434082,6.414710521697998,1191,-0.12925240397453308,2.1544346900318823e-05,0.97469562292099
34020,16.57,1760,13.176931,1088,31,-11.56557846069336,8.204665184020996,1200,-0.12849900126457214,2.1544346900318823e-05,0.9745073318481445
34180,16.49,1770,13.389529,1086,31,-11.490764617919922,10.705398559570312,1208,-0.1281575858592987,2.1544346900318823e-05,0.9743403792381287
34300,16.54,1780,13.682557,1084,31,-11.639022827148438,9.734415054321289,1214,-0.13046707212924957,2.1544346900318823e-05,0.9742152690887451
34480,16.28,1790,13.423529,1082,31,-11.701641082763672,9.646316528320312,1223,-0.13148990273475647,2.1544346900318823e-05,0.9740273952484131
34620,15.91,1800,13.133241,1080,32,-11.626457214355469,7.355801582336426,1230,-0.13219088315963745,2.1544346900318823e-05,0.9738814234733582
34840,15.63,1810,13.067277,1078,32,-11.688106536865234,6.800189018249512,1241,-0.13295993208885193,2.1544346900318823e-05,0.973652184009552
34960,15.21,1820,12.621991,1077,32,-11.634920120239258,7.34869384765625,1247,-0.13461920619010925,2.1544346900318823e-05,0.9735270738601685
35080,15.28,1830,12.636109,1075,32,-11.570234298706055,7.705470085144043,1253,-0.13501951098442078,2.1544346900318823e-05,0.9734019637107849
35220,15.14,1840,12.437765,1073,32,-11.932699203491211,7.893627643585205,1260,-0.13503772020339966,2.1544346900318823e-05,0.97325599193573
35440,15.03,1850,12.339504,1069,33,-11.99397087097168,5.212589263916016,1271,-0.13628390431404114,2.1544346900318823e-05,0.9730265736579895
35580,15.45,1860,12.574457,1066,33,-11.931171417236328,7.09210205078125,1278,-0.13742156326770782,2.1544346900318823e-05,0.9728806614875793
35740,15.71,1870,12.75241,1063,33,-12.175048828125,11.83237075805664,1286,-0.13782183825969696,2.1544346900318823e-05,0.9727136492729187
35840,15.43,1880,12.354981,1061,33,-12.163352966308594,7.0807204246521,1291,-0.13831527531147003,2.1544346900318823e-05,0.9726093411445618
36040,15.4,1890,12.444099,1059,34,-12.333956718444824,8.636820793151855,1301,-0.13946229219436646,2.1544346900318823e-05,0.9724007248878479
36140,15.75,1900,12.663746,1058,34,-12.303119659423828,12.172025680541992,1306,-0.13970571756362915,2.1544346900318823e-05,0.9722965359687805
36320,15.46,1910,12.388756,1055,34,-12.148994445800781,8.686205863952637,1315,-0.14143115282058716,2.1544346900318823e-05,0.9721089601516724
36480,15.18,1920,11.955663,1053,34,-12.164896011352539,7.791214942932129,1323,-0.14237603545188904,2.1544346900318823e-05,0.9719424247741699
36660,15.46,1930,12.2365675,1052,34,-12.662226676940918,7.457961082458496,1332,-0.1432490199804306,2.1544346900318823e-05,0.9717550873756409
36820,15.62,1940,12.412141,1050,35,-12.693737983703613,7.942452907562256,1340,-0.14392966032028198,2.1544346900318823e-05,0.9715883135795593
36980,15.9,1950,12.590677,1048,35,-12.502731323242188,9.425195693969727,1348,-0.14437131583690643,2.1544346900318823e-05,0.9714215993881226
37100,15.44,1960,12.379897,1046,35,-12.593690872192383,10.646717071533203,1354,-0.1456444263458252,2.1544346900318823e-05,0.9712963700294495
37260,15.51,1970,12.350402,1044,35,-12.710444450378418,11.74718952178955,1362,-0.146320641040802,2.1544346900318823e-05,0.9711297154426575
37400,15.43,1980,12.635768,1043,35,-12.440518379211426,8.386573791503906,1369,-0.14752453565597534,2.1544346900318823e-05,0.9709839820861816
37580,15.08,1990,12.230639,1041,36,-12.971564292907715,7.318563461303711,1378,-0.1469230055809021,2.1544346900318823e-05,0.9707965850830078
37740,14.94,2000,11.8266735,1040,36,-12.902684211730957,10.16293716430664,1386,-0.14925502240657806,2.1544346900318823e-05,0.9706301689147949
37920,15.85,2010,13.130238,1039,36,-12.842972755432129,12.539216995239258,1395,-0.15047045052051544,2.1544346900318823e-05,0.9704428911209106
38040,16.12,2020,13.424065,1039,36,-13.215780258178711,9.822762489318848,1401,-0.14928162097930908,2.1544346900318823e-05,0.970318078994751
38220,15.69,2030,13.22009,1037,36,-12.903295516967773,9.099968910217285,1410,-0.1522880345582962,2.1544346900318823e-05,0.9701310396194458
38480,15.78,2040,13.238424,1036,37,-13.124874114990234,9.20778751373291,1423,-0.15355537831783295,2.1544346900318823e-05,0.9698607921600342
38600,15.91,2050,13.343189,1034,37,-13.43259048461914,9.885595321655273,1429,-0.15468508005142212,2.1544346900318823e-05,0.9697359204292297
38820,16.05,2060,13.367261,1032,37,-13.019390106201172,8.120011329650879,1440,-0.15438847243785858,2.1544346900318823e-05,0.9695068597793579
38960,16.14,2070,13.530246,1030,37,-13.215322494506836,9.834246635437012,1447,-0.15401539206504822,2.1544346900318823e-05,0.9693614840507507
39180,16.81,2080,14.461958,1029,38,-13.419578552246094,11.40839958190918,1458,-0.15767307579517365,2.1544346900318823e-05,0.9691329598426819
39340,17.26,2090,15.348013,1028,38,-13.418426513671875,10.340691566467285,1466,-0.1588601917028427,2.1544346900318823e-05,0.9689664244651794
39540,17.31,2100,15.418848,1026,38,-13.397886276245117,13.467615127563477,1476,-0.15802007913589478,2.1544346900318823e-05,0.968758225440979
39740,17.53,2110,16.274149,1023,38,-13.611336708068848,8.931705474853516,1486,-0.15987080335617065,2.1544346900318823e-05,0.9685502052307129
39900,17.56,2120,16.407093,1022,39,-13.449440002441406,10.580925941467285,1494,-0.16018590331077576,2.1544346900318823e-05,0.9683839082717896
40060,17.95,2130,16.99113,1020,39,-13.687947273254395,9.86475944519043,1502,-0.16058611869812012,2.1544346900318823e-05,0.9682177305221558
40260,18.05,2140,17.416702,1018,39,-13.901046752929688,9.967524528503418,1512,-0.16311171650886536,2.1544346900318823e-05,0.9680101275444031
40480,18.71,2150,18.786509,1015,39,-14.021726608276367,12.299796104431152,1523,-0.16461321711540222,2.1544346900318823e-05,0.9677819609642029
40620,19.09,2160,19.420145,1014,40,-13.819844245910645,11.28744888305664,1530,-0.16223424673080444,2.1544346900318823e-05,0.9676367044448853
40860,19.27,2170,19.708092,1012,40,-13.975139617919922,11.485628128051758,1542,-0.1654248833656311,2.1544346900318823e-05,0.9673877954483032
41060,19.33,2180,19.359581,1011,40,-13.864675521850586,10.457372665405273,1552,-0.16712723672389984,2.1544346900318823e-05,0.9671804904937744
41240,19.23,2190,18.696371,1009,40,-14.202150344848633,9.981544494628906,1561,-0.16811805963516235,2.1544346900318823e-05,0.9669938087463379
41440,19.38,2200,18.979233,1008,41,-13.873766899108887,8.747230529785156,1571,-0.16777902841567993,2.1544346900318823e-05,0.9667863249778748
41600,19.1,2210,17.613064,1006,41,-14.694636344909668,10.438117980957031,1579,-0.167046457529068,2.1544346900318823e-05,0.966620147228241
41920,19.57,2220,18.43789,1003,41,-14.383244514465332,9.130573272705078,1595,-0.1703736037015915,2.1544346900318823e-05,0.9662891626358032
42120,20.05,2230,18.827286,1001,42,-14.473255157470703,13.572649002075195,1605,-0.17241740226745605,2.1544346900318823e-05,0.966081976890564
42360,20.6,2240,19.791113,999,42,-14.817646026611328,10.344468116760254,1617,-0.1730896234512329,2.1544346900318823e-05,0.9658336043357849
42680,20.17,2250,19.024948,996,42,-14.912018775939941,9.22509765625,1633,-0.17473964393138885,2.1544346900318823e-05,0.9655031561851501
43020,21.18,2260,20.169376,994,43,-14.969462394714355,5.953175067901611,1650,-0.1765953153371811,2.1544346900318823e-05,0.9651522040367126
43400,22.14,2270,21.496994,990,43,-15.255854606628418,11.558798789978027,1669,-0.17845125496387482,2.1544346900318823e-05,0.9647599458694458
43680,23.7,2280,24.813606,988,44,-15.212889671325684,15.622371673583984,1683,-0.18046018481254578,2.1544346900318823e-05,0.9644713401794434
43920,24.51,2290,26.563705,986,44,-15.361626625061035,11.769097328186035,1695,-0.18041683733463287,2.1544346900318823e-05,0.9642240405082703
44160,26.28,2300,30.884789,984,44,-15.556984901428223,9.919310569763184,1707,-0.1802353858947754,2.1544346900318823e-05,0.9639770984649658
44520,26.4,2310,31.69226,980,45,-15.657170295715332,19.047780990600586,1725,-0.184302419424057,2.1544346900318823e-05,0.9636071920394897
44820,27.11,2320,32.061268,978,45,-15.263147354125977,14.54094409942627,1740,-0.18392762541770935,2.1544346900318823e-05,0.9632986783981323
45080,29.1,2330,35.51675,977,46,-16.079662322998047,14.996749877929688,1753,-0.18307100236415863,2.1544346900318823e-05,0.963031530380249
45460,29.51,2340,35.864304,977,46,-16.058101654052734,9.339523315429688,1772,-0.18906882405281067,2.1544346900318823e-05,0.9626429080963135
45740,30.74,2350,37.795753,975,46,-16.305910110473633,9.331539154052734,1786,-0.18939590454101562,2.1544346900318823e-05,0.9623566269874573
45940,31.11,2360,38.69177,975,47,-16.026763916015625,12.085868835449219,1796,-0.18739892542362213,2.1544346900318823e-05,0.9621523022651672
46240,30.81,2370,38.860977,974,47,-16.718265533447266,13.999237060546875,1811,-0.189639151096344,2.1544346900318823e-05,0.9618465304374695
46540,30.04,2380,37.04597,973,47,-16.184947967529297,11.015100479125977,1826,-0.1942402571439743,2.1544346900318823e-05,0.9615410566329956
46920,30.14,2390,37.51752,971,48,-16.790855407714844,11.00251579284668,1845,-0.19407770037651062,2.1544346900318823e-05,0.9611536264419556
47320,29.87,2400,36.06357,970,48,-16.88141632080078,8.371548652648926,1865,-0.19675646722316742,2.1544346900318823e-05,0.9607474207878113
47720,31.38,2410,38.195946,969,49,-16.919574737548828,7.625061988830566,1885,-0.19597871601581573,2.1544346900318823e-05,0.9603410363197327
48080,31.88,2420,40.090424,969,49,-17.591665267944336,9.04995346069336,1903,-0.19807294011116028,2.1544346900318823e-05,0.9599775671958923
48380,31.25,2430,38.232918,968,49,-16.79047393798828,15.877705574035645,1918,-0.20072153210639954,2.1544346900318823e-05,0.9596747756004333
48780,32.79,2440,40.26917,967,50,-17.326534271240234,15.862129211425781,1938,-0.20258790254592896,2.1544346900318823e-05,0.9592733979225159
49120,33.25,2450,41.332924,966,50,-16.867916107177734,15.126688003540039,1955,-0.20167529582977295,2.1544346900318823e-05,0.9589319229125977
49540,33.6,2460,41.51004,966,51,-18.042293548583984,9.80868911743164,1976,-0.20120109617710114,2.1544346900318823e-05,0.958512008190155
49800,35.01,2470,43.761303,966,51,-18.100521087646484,10.63623046875,1989,-0.20439809560775757,2.1544346900318823e-05,0.958253026008606
